feature,permission_name,description,group_name,group_order,order,permission_desc,group_slug,main_slug,other_slug,method,api_pattern,supper_admin,admin,head_of_school,principal,academic,academic_manager,operation,operation_manager,it,it_manager,teacher,nanny,nurse,fnb,fnb_manager,accountant_view,accountant,chief_accountant,purchasing,contact_center,contact_center_manager,admission,admission_manager,marketing,crm_admin,finance_director,application_pipeline_manager,medicine,leave_request,user_actor
Feedback,,Get list reason,Feedback,1,,,,,cfg_public,GET,/feedback/admin/reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,View Feedback,Get list feedback,Feedback,1,1,,fb_feedback_read,fb_feedback_read,,GET,/feedback/admin/get_list_feedback,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,,1,,,,,
Feedback,Create Feedback,Create 1 feedback,Feedback,1,2,,fb_feedback_create,fb_feedback_add,,POST,/feedback/admin/feedback,1,,,,1,1,,,,1,,,,,,,,,,1,1,1,1,,,,,,,
Feedback,Manager Feedback,Get feedback detail,Feedback,1,3,,fb_feedback_manage,fb_feedback_edit,fb_feedback_read,GET,/feedback/admin/get_feedback_detail/pk,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,,,,,,,
Feedback,Feedback Approval,Feedback Approval,Feedback,1,4,,fb_feedback_approval,fb_feedback_approval,,POST,/feedback/admin/approval/feedback_id,1,,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,
Feedback,Feedback Close,Feedback Close,Feedback,1,5,,fb_feedback_close,fb_feedback_close,,POST,/feedback/admin/close/feedback_id,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Feedback,Feedback Recall,Feedback Recall,Feedback,1,14,,fb_feedback_recall,fb_feedback_recall,,POST,/feedback/admin/recall/feedback_id,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Feedback,,"Get feedback guardian, student info",Feedback,1,,,,,fb_feedback_manage,GET,/feedback/admin/get_guardian_and_student/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,,Get list activilog,Feedback,1,,,,,fb_feedback_manage,GET,/feedback/admin/get_list_activity_log/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,View Note,Get list note,Feedback,1,6,,fb_note_read,fb_note_read,,GET,/feedback/admin/get_list_active_note/feedback_id,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,,1,,,,,
Feedback,Create Note,Create 1 note,Feedback,1,7,,fb_note_create,fb_note_add,,POST,/feedback/admin/add_note,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,,,,,,,
Feedback,Manage Note,Update 1 note,Feedback,1,8,,fb_note_manage,fb_note_edit,,PUT,/feedback/admin/update_note/pk,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,,,,,,,
Feedback,Delete Note,Delete 1 note,Feedback,1,,,,fb_note_del,fb_note_manage,DELETE,/feedback/admin/update_note/pk,1,,1,1,,1,,,,,,,,,,,,,,,1,,1,,,,,,,
Feedback,View Solution,Get solution by feedback ,Feedback,1,9,,fb_solution_read,fb_solution_read,,GET,/feedback/admin/solution/list,1,1,1,1,,1,1,1,,,,,,,,,,,,1,1,,1,,1,,,,,
Feedback,Manage Solution,Get 1 solution detail,Feedback,1,10,,fb_solution_manage,fb_solution_edit,,GET,/feedback/admin/solution/detail/pk,1,,1,1,,1,,,,,,,,,,,,,,,1,,1,,,,,,,
Feedback,,Update 1 solution detail,Feedback,1,,,,,fb_solution_manage,PUT,/feedback/admin/solution/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,,Get process by feedback ,Feedback,1,,,,,fb_solution_manage,GET,/feedback/admin/process/feedback_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Change Follow,Change Follow,Feedback,1,11,,fb_change_follow,fb_follow_edit,,POST,/feedback/admin/follow,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Feedback,Change Assign,Change Assign,Feedback,1,12,,fb_change_assign,fb_assign_edit,,POST,/feedback/admin/assign,1,,1,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,
Feedback,Change Approval,Change Approval,Feedback,1,13,,fb_change_approval,fb_approval_edit,,POST,/feedback/admin/approval,1,,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,
Feedback,Rating,Rating Feedback,Feedback,1,,,,,fb_feedback_close,POST,/feedback/admin/rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Person Search,Search Person,Feedback,1,,,,,cfg_public,GET,/feedback/person/search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Create Follow up rule,Create Follow up rule,Feedback,1,15,,fb_config,fb_config,,POST,/feedback/admin/config/follow/list,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Feedback,Get Follow up rule list,Get Follow up rule list,Feedback,1,,,,,fb_config,GET,/feedback/admin/config/follow/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Delete follow up rule,Delete follow up rule,Feedback,1,,,,,fb_config,DELETE,/feedback/admin/config/follow/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Get assign to rule list,Get assign to rule list,Feedback,1,,,,,fb_config,GET,/feedback/admin/config/assign/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Create assign to rule,Create assign to rule,Feedback,1,,,,,fb_config,POST,/feedback/admin/config/assign/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Delete assign to rule,Delete assign to rule,Feedback,1,,,,,fb_config,DELETE,/feedback/admin/config/assign/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Get auto assign to rule list,Get auto assign to rule list,Feedback,1,,,,,fb_config,GET,/feedback/admin/config/auto/assign/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Create auto assign to rule,Create auto assign to rule,Feedback,1,,,,,fb_config,POST,/feedback/admin/config/auto/assign/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Delete auto assign to rule,Delete auto assign to rule,Feedback,1,,,,,fb_config,DELETE,/feedback/admin/config/auto/assign/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Get approval rule list,Get approval rule list,Feedback,1,,,,,fb_config,GET,/feedback/admin/config/approval/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Create approval rule,Create approval rule,Feedback,1,,,,,fb_config,POST,/feedback/admin/config/approval/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Delete approval rule,Delete approval rule,Feedback,1,,,,,fb_config,DELETE,/feedback/admin/config/approval/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Get Reason list,Get Reason list,Feedback,1,,,,,fb_config,GET,/feedback/admin/config/reason/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Create Reason,Create Reason,Feedback,1,,,,,fb_config,POST,/feedback/admin/config/reason/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedback,Delete Reason,Delete Reason,Feedback,1,,,,,fb_config,DELETE,/feedback/admin/config/reason/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Tuition,View Student Tuition,Get list tuition student,Hubspot,2,1,,hub_student_tuition_read,hub_student_tuition_read,,GET,/hubspot/tuition/student/list,1,,,,,,,,,,,,,,,1,1,1,,,,1,1,,1,1,,,,
Hubspot - Tuition,Get tuition student info,Get tuition student info,Hubspot,2,,,,,hub_student_tuition_read,GET,/hubspot/tuiton/student/info/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot,Find person by name,,Hubspot,2,2,,hub_info_read,hub_info_read,,GET,/hubspot/option/person/search,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot,Find guardians by student,,Hubspot,2,,,,,hub_info_read,GET,/hubspot/option/guardians/student/student_person_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot,Find emergencies by student,,Hubspot,2,,,,,hub_info_read,GET,/hubspot/option/emergencies/student/student_person_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Staging,Staging deals,,Hubspot,2,,,,hub_staging_execute,,POST,/hubspot/staging/deals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Staging,Staging contacts,,Hubspot,2,,,,,hub_staging_execute,POST,/hubspot/staging/contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Staging,Staging quotes,,Hubspot,2,,,,,hub_staging_execute,POST,/hubspot/staging/quotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Staging,View Unverified Contact Staging List,,Hubspot,2,,,,hub_staging_read,,GET,/hubspot/staging/contact/unverified_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Staging,View Unverified Deal Staging List,,Hubspot,2,,,,,hub_staging_read,GET,/hubspot/staging/deal/unverified_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Staging,Update Staging Contact ,,Hubspot,2,3,,hub_staging_manage,hub_staging_manage,,PUT,/hubspot/staging/contact/unverified_update/id,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Staging,Merge Staging Contact,,Hubspot,2,,,,,hub_staging_manage,PUT,/hubspot/staging/contact/unverified_merge/id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Staging,Reject Staging Contact,,Hubspot,2,,,,,hub_staging_manage,DELETE,/hubspot/staging/contact/unverified_reject/id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,View person student pipline,,Hubspot,2,,,,,s_application_pipeline_read,GET,/hubspot/person/student/pipeline/person_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Update person student pipline,,Hubspot,2,4,,s_application_pipeline_manage,s_application_pipeline_edit,,PUT,/hubspot/student/person/detail/person_id,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Get person student pipline detail,,Hubspot,2,,,,,,GET,/hubspot/student/person/detail/person_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,View student list,,Hubspot,2,5,,s_application_pipeline_read,s_application_pipeline_read,,GET,/hubspot/student/list,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Get student person ,,Hubspot,2,,,,,s_application_pipeline_read,GET,/hubspot/student/list/person_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Get student detail,,Hubspot,2,,,,,s_application_pipeline_read,GET,/hubspot/student/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Update student detail,,Hubspot,2,,,,,s_application_pipeline_manage,PUT,/hubspot/student/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Change student enrollment status,,Hubspot,2,6,,s_change_enrollment_status,s_change_enrollment_status,,PUT,/hubspot/option/student/enrollment-status/pk,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Hubspot - Application pipeline,View consent file,,Hubspot,2,6,,s_view_consent_file,s_view_consent_file,,GET,/hubspot/consent-file/url,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Upload consent file,,Hubspot,2,6,,s_upload_consent_file,s_upload_consent_file,,POST,/hubspot/consent-file/upload,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Preview Student Enrollment Consent ,,Hubspot,2,,,,,s_application_pipeline_read,GET,/hubspot/student/enrollment-consent-preview/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Verify Student Enrollment,,Hubspot,2,,,,,s_application_pipeline_manage,POST,/hubspot/student/enrollment/verify/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Confirm Student Enrollment,,Hubspot,2,,,,,s_application_pipeline_manage,POST,/hubspot/student/enrollment/confirm/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Student Enrollment Signed,,Hubspot,2,,,,,s_application_pipeline_manage,POST,/hubspot/student/enrollment/signed/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,View Student School PipeLine CheckList,,Hubspot,2,,,,,s_application_pipeline_read,GET,/hubspot/student/school/checklist/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Create Student School PipeLine CheckList,,Hubspot,2,,,,,s_application_pipeline_manage,POST,/hubspot/student/school/checklist/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Create staging contact,,Hubspot,2,,,,,s_application_pipeline_manage,POST,/hubspot/staging/contact/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Get Guardian Detail,,Hubspot,2,,,,,s_application_pipeline_read,GET,/hubspot/guardian/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,Update Guardian Detail,,Hubspot,2,,,,,s_application_pipeline_manage,PUT,/hubspot/guardian/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,View Guardians List Of Student,,Hubspot,2,,,,,s_application_pipeline_read,GET,/hubspot/guardian/list/person_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,View Emergencies List Of Student,,Hubspot,2,,,,,s_application_pipeline_read,GET,/hubspot/emergency/list/person_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Application pipeline,View Deal Stage Pipeline,,Hubspot,2,,,,,s_application_pipeline_read,GET,/hubspot/pipeline/stage/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Client,Get Enrollment Form,,Hubspot,2,,,,s_enrollment_form_client_read,,GET,/hubspot/enrollment/form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Client,Create Enrollment Form,,Hubspot,2,7,,s_enrollment_form_client_manage,s_enrollment_form_client_add,,POST,/hubspot/enrollment/form,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Client,Get Guarantee Form,,Hubspot,2,,,,,s_enrollment_form_client_read,GET,/hubspot/guarantee/form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Client,Create Guarantee Fee Generation,,Hubspot,2,,,,,s_enrollment_form_client_manage,POST,/hubspot/guarantee/generate/fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Client,Create Guarantee Register,,Hubspot,2,,,,,s_enrollment_form_client_manage,POST,/hubspot/guarantee/register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Website,View Web Student Need Payment Fee,,Hubspot,2,,,,,,GET,/hubspot/website/student/need_payment_fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Food court,View Food Court Person List,,Hubspot,2,,,,s_food_court_read,,GET,/hubspot/food-count/person/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Super admin,Create Student Enrollment To Cap,,Hubspot,2,8,,s_enrollment_integration,s_enrollment_integration,,POST,/hubspot/admin/student/enrollment/to/cap/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Super admin,Push Student to User App,,Hubspot,2,,,,,s_enrollment_integration,POST,/hubspot/sync/student/user/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Super admin,Push Guardian to User App,,Hubspot,2,,,,,s_enrollment_integration,POST,/hubspot/sync/guardian/user/guardian_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Long term contract,View Contract,,Hubspot,2,9,,s_contract_read,s_contract_read,,GET,/hubspot/contract,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Long term contract,Create Contract,,Hubspot,2,,,,s_contract_add,,POST,/hubspot/contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Long term contract,View Contracts By student,,Hubspot,2,,,,,s_contract_read,GET,/hubspot/contract/list/student_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Long term contract,Get Long Term Contract PDF,,Hubspot,2,,,,,s_contract_read,GET,/hubspot/long-term-contract/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Long term contract,View Appendix List,,Hubspot,2,,,,,s_contract_read,GET,/hubspot/appendix/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubspot - Long term contract,Get Appendix Detail,,Hubspot,2,,,,,s_contract_read,GET,/hubspot/appendix/detail/pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition,,Get list fee by filter,Tuition,3,,,,,cfg_public,GET,/tuition/student/fee/list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition,,Get fee type,Tuition,3,,,,,cfg_public,GET,/tuition/student/fee/type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition,View Student Fee,Get list fee of a student.,Tuition,3,1,,t_tuition_read,t_tuition_read,,GET,/tuition/student/fee/list/student_id,1,,,,,,,,,,,,,,,1,1,1,,,,1,1,,1,1,,,,
Tuition,Manage Tuition,Add a fee for student,Tuition,3,2,,t_tuition_manage,t_tuition_edit,,POST,/tuition/student/fee/list/student_id,1,,,,,,,,,,,,,,,,1,1,,,,1,1,,,1,,,,
